year,numOut,numExecs,numVCs,startupHadFinancing,financingRoundNumer,cik1,cik2,cik3,cik4
2005,5,1,2,1,1,6948,,,
2006,5,1,2,0,,6948,,,
2007,3,0,2,0,,6948,,,
2008,3,0,2,0,,6948,,,
2009,3,0,2,0,,6948,,,
2010,3,0,2,0,,6948,,,
2011,3,0,2,0,,6948,,,
2012,3,0,3,0,,6948,,,
2013,3,0,3,0,,6948,,,
2014,3,0,3,0,,6948,,,
2015,3,0,3,0,,6948,,,
2016,3,0,3,0,,6948,,,
2017,3,0,3,0,,6948,,,
2008,2,1,2,1,1,81050,,,
2009,2,1,2,0,,81050,,,
2010,2,1,2,0,,81050,,,
2011,2,1,2,0,,81050,,,
2014,0,1,0,1,1,154571,1545714,,
2015,0,1,0,0,,154571,1545714,,
2012,1,0,2,1,1,708717,,,
2013,3,1,2,0,,708717,,,
2014,3,2,2,0,,708717,,,
2015,3,1,2,0,,708717,,,
2016,3,1,2,1,2,708717,,,
2017,3,1,2,0,,708717,,,
2003,0,1,0,1,1,741715,,,
2004,0,1,0,0,,741715,,,
2005,0,1,0,0,,741715,,,
2004,0,2,2,1,1,759596,,,
2005,1,3,2,0,,759596,,,
2006,1,3,2,1,2,759596,,,
2007,2,2,2,0,,759596,,,
2008,2,2,2,1,3,759596,,,
2009,2,2,1,0,,759596,,,
2010,1,2,1,0,,759596,,,
2011,1,2,1,0,,759596,,,
2012,1,2,1,0,,759596,,,
2013,1,2,1,0,,759596,,,
2014,1,2,1,0,,759596,,,
2015,1,2,1,0,,759596,,,
2011,3,3,0,1,1,771856,,,
2012,3,3,1,0,,771856,,,
2013,3,2,2,0,,771856,,,
2014,3,2,2,0,,771856,,,
2015,3,2,2,1,2,771856,,,
2016,3,2,2,0,,771856,,,
2017,3,2,2,0,,771856,,,
2005,0,1,0,1,1,780127,,,
2006,0,1,0,1,2,780127,,,
2007,0,1,1,1,3,780127,,,
2008,0,1,2,0,,780127,,,
2009,0,1,2,0,,780127,,,
2010,0,1,2,0,,780127,,,
2011,0,1,2,0,,780127,,,
2012,0,1,2,0,,780127,,,
2004,0,1,0,1,1,786618,,,
2005,0,1,0,1,2,786618,,,
2006,0,2,0,1,3,786618,,,
2007,1,4,0,1,4,786618,,,
2008,1,3,0,0,,786618,,,
2006,1,1,0,1,1,790183,,,
2007,1,1,1,1,2,790183,,,
2008,1,1,1,1,3,790183,,,
2009,1,1,2,0,,790183,,,
2010,1,1,4,1,4,790183,,,
2011,1,1,4,1,5,790183,,,
